book_id,authors,title,Genres
1,Suzanne Collins,The Hunger Games,SciFi;Drama
2,"J.K. Rowling, Mary GrandPré",Harry Potter and the Philosopher's Stone,Fantasy;Young-Age
3,Stephenie Meyer,Twilight,Fantasy
4,Harper Lee,To Kill a Mockingbird,Self-Help;Drama
5,F. Scott Fitzgerald,The Great Gatsby,Drama
6,John Green,The Fault in Our Stars,Romance;Drama
7,J.R.R. Tolkien,The Hobbit,Fantasy
8,J.D. Salinger,The Catcher in the Rye,Classic;Young-Age
9,Dan Brown,Angels & Demons ,Thriller;Drama
10,Jane Austen,Pride and Prejudice,Drama;Romance
11,Khaled Hosseini,The Kite Runner ,Drama;History
12,Veronica Roth,Divergent,Fantasy;Drama
13,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four,Thriller
14,George Orwell,Animal Farm: A Fairy Story,Drama
15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,Biography
16,"Stieg Larsson, Reg Keeland",Män som hatar kvinnor,Crime;Thriller;Drama
17,Suzanne Collins,Catching Fire,SciFi;Drama
18,"J.K. Rowling, Mary GrandPré, Rufus Beck",Harry Potter and the Prisoner of Azkaban,Fantasy;Fiction;Young-Age
19,J.R.R. Tolkien,The Fellowship of the Ring,Fantasy
20,Suzanne Collins,Mockingjay,Fantasy
21,"J.K. Rowling, Mary GrandPré",Harry Potter and the Order of the Phoenix,Fantasy
22,Alice Sebold,The Lovely Bones,Psychological;Domestic
23,"J.K. Rowling, Mary GrandPré",Harry Potter and the Chamber of Secrets,Fantasy;Young-Age
24,"J.K. Rowling, Mary GrandPré",Harry Potter and the Goblet of Fire,Fantasy;Young-Age
25,"J.K. Rowling, Mary GrandPré",Harry Potter and the Deathly Hallows,Fantasy;Young-Age
26,Dan Brown,The Da Vinci Code,Thriller;Drama
27,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince,Fantasy;Young-Age
28,William Golding,Lord of the Flies ,Psychological;Young-Age
29,"William Shakespeare, Robert           Jackson",An Excellent conceited Tragedie of Romeo and Juliet,Romance
30,Gillian Flynn,Gone Girl,Thriller
31,Kathryn Stockett,The Help,History;Fiction
32,John Steinbeck,Of Mice and Men ,Drama;Fiction
33,Arthur Golden,Memoirs of a Geisha,Biography
34,E.L. James,Fifty Shades of Grey,Erotic;Drama
35,"Paulo Coelho, Alan R. Clarke",O Alquimista,Fiction;Fantasy
36,Lois Lowry,The Giver,Fantasy
37,C.S. Lewis,"The Lion, the Witch and the Wardrobe",Fantasy
38,Audrey Niffenegger,The Time Traveler's Wife,Romance;SciFi;Fantasy;Domestic
39,George R.R. Martin,A Game of Thrones,Fantasy
40,Elizabeth Gilbert,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Romance;Drama
41,Rick Riordan,The Lightning Thief,Fantasy;Thriller
42,Louisa May Alcott,Little Women,Young-Age;Romance;Drama
